order	score	color	region	size
1	-0.89	#6495ED	Insula	2438
2	-0.74	#76EE00	Caudate	2063
3	-0.67	#76EE00	No_Label	721485
4	-0.65	#6495ED	Cerebellum	26868
5	-0.55	#6495ED	Caudate	2063
6	-0.42	#7AC5CD	Whole_Brain	902629
7	-0.23	#7AC5CD	Thalamus	2491
8	-0.12	#6495ED	No_Label	721485
9	-0.05	#6495ED	Frontal_Lobe	57915
10	0.01	#6495ED	Putamen	1990
11	0.05	#6495ED	Thalamus	2491
12	0.06	#6495ED	Temporal_Lobe	29910
13	0.06	#6495ED	Occipital_Lobe	21542
14	0.10	#76EE00	Insula	2438
15	0.15	#76EE00	Cerebellum	26868
16	0.18	#76EE00	Frontal_Lobe	57915
17	0.22	#6495ED	Parietal_Lobe	35927
18	0.25	#76EE00	Putamen	1990
19	0.32	#76EE00	Parietal_Lobe	35927
20	0.39	#76EE00	Whole_Brain	902629
21	0.40	#76EE00	Thalamus	2491
22	0.55	#76EE00	Temporal_Lobe	29910
23	0.59	#76EE00	Occipital_Lobe	21542
24	0.63	#7AC5CD	Insula	2438
25	0.69	#6495ED	Whole_Brain	902629
26	0.71	#7AC5CD	Cerebellum	26868
27	0.72	#7AC5CD	Caudate	2063
28	0.78	#7AC5CD	No_Label	721485
29	0.78	#7AC5CD	Frontal_Lobe	57915
30	0.85	#7AC5CD	Putamen	1990
31	0.86	#7AC5CD	Parietal_Lobe	35927
32	0.89	#7AC5CD	Temporal_Lobe	29910
33	0.98	#7AC5CD	Occipital_Lobe	21542
